"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-16","10.51",,"0.02","0.0","0.0","33","38","22","  340","  330","19.9","30.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-17","9.62",,"0.25","0.1","0.0","27","38","21","  140","  120","21.9","30.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-18","5.82",,"0.36","1.1","1.2","36","39","33","  330","  360","15.0","23.9","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-19","11.18",,"0.07","1.3","0.0","29","34","23","  310","  330","23.0","30.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-20","7.83",,"0.00","0.0","2.0","30","40","26","  260","  250","17.0","23.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-21","15.21",,"0.03","0.8","0.0","37","46","22","  310","  280","28.0","42.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-22","3.80",,"0.06","2.5","3.1","24","30","21","  230","  230","12.1","14.1","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-23","7.16",,"0.00","0.0","3.1","30","34","28","  260","  260","15.0","21.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-24","7.61",,"0.36","0.0","2.0","40","51","33","  240","  240","21.0","25.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-25","14.76",,"0.05","0.2","0.0","38","43","26","  300","  300","23.0","35.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-26","9.84",,"0.00","0.0","0.0","29","38","24","  300","  290","28.0","40.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-27","8.72",,"0.00","0.0","0.0","27","38","23","  120","  130","17.0","25.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-28","10.74",,"0.00","0.0","0.0","42","53","36","  300","  300","23.9","38.0",,,,,,
